Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,63.900002,64.730003,63.41,63.57,2270700,63.57
2015-05-04,64.099998,64.910004,63.419998,64.760002,2053100,64.760002
2015-05-05,64.57,65.099998,64.029999,64.309998,1237300,64.309998
2015-05-06,64.720001,65.139999,64.050003,65.040001,1356400,65.040001
2015-05-07,64.870003,66.0,64.57,65.309998,1088800,65.309998
2015-05-08,65.57,66.279999,65.32,65.489998,837400,65.489998
2015-05-11,65.489998,66.18,64.830002,65.669998,1160900,65.669998
2015-05-12,65.529999,65.599998,63.830002,64.699997,1254000,64.699997
2015-05-13,64.690002,65.139999,64.050003,64.410004,1089400,64.410004
2015-05-14,64.410004,65.650002,63.580002,65.199997,1186000,65.199997
2015-05-15,65.32,65.559998,64.449997,64.489998,996500,64.489998
2015-05-18,64.129997,65.360001,64.099998,64.580002,1343500,64.580002
2015-05-19,64.309998,64.949997,62.970001,63.0,1962000,63.0
2015-05-20,62.869999,62.93,60.959999,61.91,2350500,61.91
2015-05-21,61.439999,61.57,60.07,60.5,3705600,60.5
2015-05-22,60.52,61.490002,59.540001,61.16,2901000,61.16
2015-05-26,60.32,61.310001,59.790001,60.27,2049300,60.27
2015-05-27,59.75,61.73,59.299999,61.119999,1985800,61.119999
2015-05-28,61.16,61.75,60.91,61.23,1266100,61.23
2015-05-29,61.09,61.650002,59.599998,59.790001,2754900,59.790001
2015-06-01,60.290001,60.990002,59.709999,59.98,2097200,59.98
2015-06-02,60.330002,60.650002,58.25,59.799999,3876600,59.799999
2015-06-03,60.02,61.77,59.32,61.27,2322600,61.27
2015-06-04,60.700001,61.84,60.049999,61.349998,1395600,61.349998
2015-06-05,61.93,64.050003,61.799999,63.799999,3549200,63.799999
2015-06-08,63.5,63.73,60.779999,61.52,5435900,61.52
2015-06-09,65.709999,68.349998,64.809998,68.269997,16031000,68.269997
2015-06-10,68.550003,68.620003,65.699997,66.769997,5547300,66.769997
2015-06-11,65.550003,66.18,64.760002,66.07,4759700,66.07
2015-06-12,65.599998,66.769997,65.510002,66.480003,1945500,66.480003
2015-06-15,66.290001,67.459999,65.82,66.82,1831100,66.82
2015-06-16,67.0,67.629997,66.610001,67.260002,1411900,67.260002
2015-06-17,67.239998,67.550003,66.639999,66.93,1555400,66.93
2015-06-18,67.080002,67.639999,66.589996,66.610001,1468000,66.610001
2015-06-19,66.0,66.75,65.699997,65.989998,3001100,65.989998
2015-06-22,66.370003,66.910004,66.0,66.339996,1753900,66.339996
2015-06-23,66.720001,68.830002,66.720001,68.800003,4438700,68.800003
2015-06-24,68.830002,68.879997,67.360001,67.419998,1638800,67.419998
2015-06-25,67.669998,68.129997,67.199997,67.559998,1415700,67.559998
2015-06-26,67.139999,68.480003,66.599998,67.089996,10089400,67.089996
2015-06-29,66.5,66.709999,64.730003,64.800003,1616700,64.800003
2015-06-30,65.459999,65.470001,64.25,65.300003,1688300,65.300003
2015-07-01,65.690002,65.989998,64.75,65.050003,1462900,65.050003
2015-07-02,64.919998,65.449997,63.950001,65.18,1365700,65.18
2015-07-06,64.870003,65.550003,63.950001,64.300003,1855100,64.300003
2015-07-07,64.730003,65.940002,63.169998,65.68,2141500,65.68
2015-07-08,65.040001,65.629997,63.830002,63.970001,1398800,63.970001
2015-07-09,64.809998,65.199997,62.389999,62.459999,2206400,62.459999
2015-07-10,63.23,63.48,62.169998,63.0,2090100,63.0
2015-07-13,63.439999,64.480003,63.389999,64.110001,1311800,64.110001
2015-07-14,64.209999,64.400002,63.68,63.919998,1127100,63.919998
2015-07-15,63.77,64.099998,63.310001,63.419998,1429100,63.419998
2015-07-16,63.310001,63.57,62.279999,62.779999,1372400,62.779999
2015-07-17,62.900002,63.169998,62.259998,62.939999,1360200,62.939999
2015-07-20,62.900002,63.73,62.77,63.360001,888800,63.360001
2015-07-21,63.43,63.740002,62.34,62.77,1415800,62.77
2015-07-22,62.450001,63.279999,62.220001,62.860001,1463100,62.860001
2015-07-23,63.290001,64.82,61.900002,62.0,1954000,62.0
2015-07-24,62.07,62.75,60.48,61.240002,1991500,61.240002
2015-07-27,60.790001,61.439999,59.860001,61.169998,2211100,61.169998
2015-07-28,61.290001,63.73,61.25,63.220001,2047700,63.220001
2015-07-29,63.169998,63.860001,62.450001,63.740002,1355100,63.740002
2015-07-30,63.669998,63.830002,62.84,63.07,1614800,63.07
2015-07-31,63.290001,63.580002,62.59,62.860001,1486600,62.860001
2015-08-03,62.779999,62.959999,61.130001,61.869999,1654000,61.869999
